Sr,Zip Code,City,State,Population,Male,Female,Area,Density
887,93611,CLOVIS,CA,47559,22931,24628,11.2,4248
888,6457,MIDDLETOWN,CT,47539,22705,24834,41.02,1159
889,95351,MODESTO,CA,47534,23786,23748,8.87,5359
890,90047,LOS ANGELES,CA,47533,21690,25843,4.73,10049
891,80011,AURORA,CO,47508,23770,23738,24.65,1927
892,48066,ROSEVILLE,MI,47499,23323,24176,9.85,4821
893,84604,PROVO,UT,47491,22847,24644,125.28,379
894,76051,GRAPEVINE,TX,47488,23071,24417,36.83,1289
895,95124,SAN JOSE,CA,47446,23859,23587,6.57,7222
896,7003,BLOOMFIELD,NJ,47442,22010,25432,5.29,8972
897,85022,PHOENIX,AZ,47433,23034,24399,9.36,5070
898,32304,TALLAHASSEE,FL,47417,24082,23335,15.67,3026
899,33021,HOLLYWOOD,FL,47400,22545,24855,8.71,5441
900,94568,DUBLIN,CA,47384,24102,23282,15.29,3100
901,90247,GARDENA,CA,47361,22118,25243,3.75,12616
902,20783,HYATTSVILLE,MD,47331,27089,20242,5.63,8408
903,8540,PRINCETON,NJ,47316,22724,24592,51.92,911
904,33126,MIAMI,FL,47311,22427,24884,5.01,9447
905,92028,FALLBROOK,CA,47282,23980,23302,94.37,501
906,92691,MISSION VIEJO,CA,47275,23035,24240,8.8,5370
907,85374,SURPRISE,AZ,47274,21846,25428,16.26,2907
908,90016,LOS ANGELES,CA,47273,21911,25362,3.63,13034
909,91765,DIAMOND BAR,CA,47273,22842,24431,18.92,2499
910,92111,SAN DIEGO,CA,47271,23830,23441,8.46,5588
911,63136,SAINT LOUIS,MO,47220,20429,26791,10.58,4463
912,92410,SAN BERNARDINO,CA,47192,23935,23257,8.22,5741
913,80918,COLORADO SPRINGS,CO,47189,23320,23869,11.98,3939
914,38654,OLIVE BRANCH,MS,47182,23213,23969,94.9,497
915,96720,HILO,HI,47109,23361,23748,299.53,157
916,83686,NAMPA,ID,47091,23009,24082,88.83,530
917,33029,HOLLYWOOD,FL,47086,23121,23965,17.83,2641
918,43229,COLUMBUS,OH,47084,22910,24174,8.81,5344
919,10451,BRONX,NY,47069,21045,26024,1.02,46373
920,78254,SAN ANTONIO,TX,47019,22713,24306,27.06,1738
921,98103,SEATTLE,WA,47019,23469,23550,4.64,10144
922,75093,PLANO,TX,46990,23218,23772,14.12,3328
923,33155,MIAMI,FL,46977,22902,24075,7.38,6365
924,80012,AURORA,CO,46974,23341,23633,7.77,6049
925,91748,ROWLAND HEIGHTS,CA,46966,23517,23449,14.47,3246
926,60645,CHICAGO,IL,46913,22546,24367,2.26,20776
927,33018,HIALEAH,FL,46903,22212,24691,19.49,2406
928,77511,ALVIN,TX,46889,23438,23451,158.52,296
929,27713,DURHAM,NC,46824,20987,25837,32.56,1438
930,8831,MONROE TOWNSHIP,NJ,46818,22136,24682,50.4,929
931,78155,SEGUIN,TX,46816,23050,23766,354.57,132
932,96792,WAIANAE,HI,46812,23010,23802,60.95,768
933,92084,VISTA,CA,46811,23311,23500,26.17,1789
934,90503,TORRANCE,CA,46780,22576,24204,5.3,8831
935,95843,ANTELOPE,CA,46775,22539,24236,6.45,7254
936,27360,THOMASVILLE,NC,46756,22661,24095,88.13,531
937,75023,PLANO,TX,46733,23308,23425,9.42,4961
938,19335,DOWNINGTOWN,PA,46691,23084,23607,42.53,1098
939,56001,MANKATO,MN,46689,23170,23519,114.54,408
940,95060,SANTA CRUZ,CA,46688,23590,23098,67.83,688
941,32174,ORMOND BEACH,FL,46686,22413,24273,123.42,378
942,32303,TALLAHASSEE,FL,46671,22617,24054,35.49,1315
943,27265,HIGH POINT,NC,46659,22152,24507,41.93,1113
944,27107,WINSTON SALEM,NC,46649,22565,24084,65.04,717
945,77070,HOUSTON,TX,46640,22977,23663,13.01,3584
946,29720,LANCASTER,SC,46633,22593,24040,283.69,164
947,20850,ROCKVILLE,MD,46629,21940,24689,14.1,3307
948,35215,BIRMINGHAM,AL,46629,21062,25567,28.67,1626
949,75074,PLANO,TX,46606,23803,22803,16.52,2822
950,97223,PORTLAND,OR,46574,23349,23225,11.55,4034
951,55303,ANOKA,MN,46557,23255,23302,63.1,738
952,8816,EAST BRUNSWICK,NJ,46550,22485,24065,20.54,2266
953,55304,ANDOVER,MN,46526,23893,22633,69.08,673
954,92069,SAN MARCOS,CA,46492,23033,23459,16.45,2826
955,78227,SAN ANTONIO,TX,46489,22563,23926,13.8,3368
956,76116,FORT WORTH,TX,46488,23057,23431,12.17,3821
957,95240,LODI,CA,46482,22834,23648,82.71,562
958,33319,FORT LAUDERDALE,FL,46473,20727,25746,6.96,6677
959,23185,WILLIAMSBURG,VA,46458,22267,24191,56.03,829
960,73013,EDMOND,OK,46457,22085,24372,29.28,1587
961,60126,ELMHURST,IL,46450,22851,23599,11.14,4171
962,28645,LENOIR,NC,46444,22658,23786,329.73,141
963,87507,SANTA FE,NM,46430,22645,23785,82.78,561
964,30157,DALLAS,GA,46413,22749,23664,84.94,546
965,98902,YAKIMA,WA,46412,23336,23076,9.03,5143
966,75060,IRVING,TX,46409,22894,23515,13.26,3500
967,98133,SEATTLE,WA,46405,22467,23938,7.1,6540
968,91790,WEST COVINA,CA,46404,21997,24407,5.77,8040
969,30064,MARIETTA,GA,46401,22398,24003,31.86,1456
970,60586,PLAINFIELD,IL,46395,22994,23401,17.52,2648
971,7052,WEST ORANGE,NJ,46386,22302,24084,12.06,3848
972,85283,TEMPE,AZ,46373,22610,23763,8.78,5282
973,48235,DETROIT,MI,46368,21321,25047,6.25,7418
974,47374,RICHMOND,IN,46361,22059,24302,117.42,395
975,94303,PALO ALTO,CA,46357,22760,23597,7.96,5822
976,91352,SUN VALLEY,CA,46334,22986,23348,11.67,3971
977,63303,SAINT CHARLES,MO,46318,22155,24163,19.85,2334
978,36695,MOBILE,AL,46316,22225,24091,47.75,970
979,93720,FRESNO,CA,46300,21755,24545,9.96,4650
980,27707,DURHAM,NC,46299,22083,24216,21.28,2176
981,65202,COLUMBIA,MO,46268,22457,23811,148.87,311
982,60115,DEKALB,IL,46267,22655,23612,80.76,573
983,43207,COLUMBUS,OH,46253,22683,23570,23.32,1984
984,98225,BELLINGHAM,WA,46251,22444,23807,12.55,3684
985,89122,LAS VEGAS,NV,46236,23149,23087,9.08,5094
986,44646,MASSILLON,OH,46219,22781,23438,28.89,1600
987,85037,PHOENIX,AZ,46208,24004,22204,8.19,5645
988,85207,MESA,AZ,46201,22342,23859,29.86,1547
989,75062,IRVING,TX,46200,22750,23450,10.99,4203
990,27603,RALEIGH,NC,46175,23611,22564,51.61,895
991,33612,TAMPA,FL,46167,22844,23323,10.22,4519
992,22304,ALEXANDRIA,VA,46148,21471,24677,4.63,9959
993,36116,MONTGOMERY,AL,46139,20823,25316,56.07,823
994,40214,LOUISVILLE,KY,46134,22595,23539,14.86,3105
995,33010,HIALEAH,FL,46108,22572,23536,4.32,10683
996,98270,MARYSVILLE,WA,46105,22910,23195,14.31,3222
997,95037,MORGAN HILL,CA,46100,22296,23804,243.32,189
998,27616,RALEIGH,NC,46074,22210,23864,22.22,2074
999,32839,ORLANDO,FL,46052,23823,22229,7.45,6178
1000,88101,CLOVIS,NM,46046,23560,22486,532.07,87
