Sr,Zip Code,City,State,Population,Male,Female,Area,Density
799,78641,LEANDER,TX,48854,24589,24265,126.47,386
800,93638,MADERA,CA,48805,25526,23279,94.82,515
801,98632,LONGVIEW,WA,48786,23529,25257,129.13,378
802,53511,BELOIT,WI,48785,23156,25629,110.49,442
803,17601,LANCASTER,PA,48769,23130,25639,33.31,1464
804,91767,POMONA,CA,48768,24209,24559,5.62,8676
805,23455,VIRGINIA BEACH,VA,48765,24027,24738,16.12,3025
806,99336,KENNEWICK,WA,48749,24399,24350,13.35,3652
807,92692,MISSION VIEJO,CA,48739,23852,24887,9.85,4947
808,77080,HOUSTON,TX,48734,26191,22543,6.38,7635
809,92130,SAN DIEGO,CA,48721,23719,25002,18.44,2643
810,30032,DECATUR,GA,48693,23595,25098,13.63,3572
811,27705,DURHAM,NC,48684,24152,24532,43.88,1110
812,80504,LONGMONT,CO,48679,24538,24141,99.06,491
813,78741,AUSTIN,TX,48654,25745,22909,7.6,6404
814,38017,COLLIERVILLE,TN,48641,23157,25484,84.75,574
815,92064,POWAY,CA,48622,24115,24507,40.96,1187
816,75098,WYLIE,TX,48611,23753,24858,32.94,1476
817,48439,GRAND BLANC,MI,48594,23568,25026,52.91,918
818,90630,CYPRESS,CA,48590,23328,25262,6.13,7933
819,27407,GREENSBORO,NC,48545,23312,25233,30.29,1602
820,18103,ALLENTOWN,PA,48527,22619,25908,17.61,2756
821,90018,LOS ANGELES,CA,48498,23033,25465,2.9,16747
822,32068,MIDDLEBURG,FL,48490,23844,24646,101.09,480
823,21228,CATONSVILLE,MD,48483,22912,25571,15.5,3128
824,33016,HIALEAH,FL,48450,22904,25546,4.38,11067
825,11420,SOUTH OZONE PARK,NY,48449,23009,25440,2.08,23315
826,29485,SUMMERVILLE,SC,48443,23611,24832,35.72,1356
827,28601,HICKORY,NC,48428,22843,25585,46.05,1052
828,89030,NORTH LAS VEGAS,NV,48407,25242,23165,9.36,5173
829,97124,HILLSBORO,OR,48406,24167,24239,43.08,1124
830,76549,KILLEEN,TX,48388,24086,24302,76.64,631
831,97206,PORTLAND,OR,48384,24016,24368,6.53,7412
832,39503,GULFPORT,MS,48348,24335,24013,120.69,401
833,92879,CORONA,CA,48327,23580,24747,10.05,4811
834,78840,DEL RIO,TX,48325,24192,24133,951.46,51
835,42701,ELIZABETHTOWN,KY,48299,23226,25073,158.63,304
836,60637,CHICAGO,IL,48270,21262,27008,4.51,10715
837,95648,LINCOLN,CA,48243,23223,25020,141.51,341
838,60014,CRYSTAL LAKE,IL,48234,23744,24490,25.3,1906
839,80525,FORT COLLINS,CO,48207,23405,24802,24.24,1989
840,55044,LAKEVILLE,MN,48198,24050,24148,64.12,752
841,92243,EL CENTRO,CA,48190,23514,24676,110.28,437
842,93702,FRESNO,CA,48181,24334,23847,5.26,9153
843,28216,CHARLOTTE,NC,48172,22176,25996,29.9,1611
844,38109,MEMPHIS,TN,48169,22209,25960,67.31,716
845,33614,TAMPA,FL,48125,24147,23978,9.78,4922
846,23223,RICHMOND,VA,48111,22068,26043,16.85,2856
847,37122,MOUNT JULIET,TN,48107,23767,24340,111.94,430
848,48126,DEARBORN,MI,48100,23688,24412,9.8,4907
849,60123,ELGIN,IL,48053,24148,23905,13.77,3489
850,48187,CANTON,MI,48028,23459,24569,18.08,2657
851,94553,MARTINEZ,CA,48018,23882,24136,48.94,981
852,95616,DAVIS,CA,47995,22447,25548,27.56,1742
853,33810,LAKELAND,FL,47995,22966,25029,56.05,856
854,34787,WINTER GARDEN,FL,47990,23506,24484,68.95,696
855,10459,BRONX,NY,47977,22748,25229,0.82,58723
856,47150,NEW ALBANY,IN,47954,22920,25034,43.89,1093
857,85365,YUMA,AZ,47933,24687,23246,1368.69,35
